Insurance Policy,,,,,,,Managed by : Rohit Kapoor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured INR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
TRS-POL-785517,15-11-2018,15-Nov-25,25,15-Nov-18,CUST-692124,1883591.98,75629.14,Quarterly,No,611505.06,1487.68,AGT-3150,November,Q4,2018,15-Nov-19,CLM-125721,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-468585,31-10-2018,31-Oct-25,25,31-Oct-18,CUST-805447,1984214.14,45747.85,Annually,No,873825.5,9398,AGT-3150,October,Q4,2018,31-Oct-19,CLM-908445,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-732990,27-06-2017,27-Jun-25,25,27-Jun-17,CUST-713965,1357065.53,26057.06,Monthly,Yes,588310.2,1766.68,AGT-3150,June,Q2,2017,27-Jun-18,CLM-349102,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-736929,25-04-2017,25-Apr-25,25,25-Apr-17,CUST-685822,1720339.9,89503.64,Annually,No,653082.14,8051.72,AGT-3150,April,Q2,2017,25-Apr-18,CLM-198417,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-433696,11-06-2018,11-Jun-25,25,11-Jun-18,CUST-275840,768956.14,14260.89,Quarterly,No,301460.85,9144.83,AGT-3150,June,Q2,2018,11-Jun-19,CLM-994847,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-653000,08-03-2024,08-Mar-24,25,19-Feb-25,CUST-679388,1069317.9,59316.78,Annually,No,418658.16,6552.8,AGT-3150,February,Q1,2025,19-Feb-26,CLM-732924,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-608688,02-09-2020,02-Sep-25,25,02-Sep-20,CUST-404068,1000559.88,9157.18,Monthly,No,464421.2,9696.73,AGT-3150,September,Q3,2020,02-Sep-21,CLM-759040,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-897867,11-01-2019,11-Jan-25,25,11-Jan-19,CUST-746711,1942485.41,17395.99,Quarterly,No,988854.28,6475.65,AGT-3150,January,Q1,2019,11-Jan-20,CLM-218823,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-187066,01-09-2019,01-Sep-25,25,01-Sep-19,CUST-721130,1837726.5,19286.55,Quarterly,Yes,552755.39,1279.52,AGT-3150,September,Q3,2019,01-Sep-20,CLM-195346,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-536329,19-12-2019,19-Dec-25,25,19-Dec-19,CUST-718299,238813.28,19140.97,Monthly,No,82117.4,3077.65,AGT-3150,December,Q4,2019,19-Dec-20,CLM-990917,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-782875,20-04-2024,20-Apr-25,25,20-Apr-24,CUST-148511,1152484.64,57187.25,Monthly,No,554352.57,4556.06,AGT-3150,April,Q2,2024,20-Apr-25,CLM-339687,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-107295,29-07-2021,29-Jul-25,25,29-Jul-21,CUST-918683,771707.15,28046.47,Quarterly,No,427843.19,2055.39,AGT-3150,July,Q3,2021,29-Jul-22,CLM-193809,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-813417,15-08-2023,15-Aug-25,25,15-Aug-23,CUST-427193,1863560.14,7514.9,Monthly,Yes,1013889.61,3517.56,AGT-3150,August,Q3,2023,15-Aug-24,CLM-258564,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-982820,26-08-2016,26-Aug-25,25,26-Aug-16,CUST-956049,1769354.27,15625.96,Annually,No,609156.81,3513.36,AGT-3150,August,Q3,2016,26-Aug-17,CLM-833055,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-370314,12-10-2020,12-Oct-25,25,12-Oct-20,CUST-350856,942306.23,87642.9,Quarterly,Yes,517495.35,8378.16,AGT-3150,October,Q4,2020,12-Oct-21,CLM-792627,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-271378,11-03-2018,11-Mar-25,25,11-Mar-18,CUST-194987,855490.67,92591.8,Quarterly,No,274741.22,4854.59,AGT-3150,March,Q1,2018,11-Mar-19,CLM-147567,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-701885,03-10-2024,03-Oct-25,25,03-Oct-24,CUST-589175,315534.78,49475.03,Quarterly,No,146101.29,8229.18,AGT-3150,October,Q4,2024,03-Oct-25,CLM-964229,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-977587,27-10-2023,27-Oct-25,25,27-Oct-23,CUST-745792,1078136.26,81563.71,Monthly,Yes,624222.1,2916.13,AGT-3150,October,Q4,2023,27-Oct-24,CLM-318793,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-404612,18-11-2018,18-Nov-25,25,18-Nov-18,CUST-190077,313175.08,64167.97,Quarterly,Yes,129142.47,7551.31,AGT-3150,November,Q4,2018,18-Nov-19,CLM-802068,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-989935,30-04-2016,30-Apr-25,25,30-Apr-16,CUST-770597,1385071.79,42389.47,Quarterly,Yes,495585.58,4555.69,AGT-3150,April,Q2,2016,30-Apr-17,CLM-796036,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-431935,12-04-2018,12-Apr-25,25,12-Apr-18,CUST-745560,1982685.43,25843.21,Annually,No,780474.44,9158.39,AGT-3150,April,Q2,2018,12-Apr-19,CLM-526756,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-748406,20-03-2017,20-Mar-25,25,20-Mar-17,CUST-763540,1619647.92,82536.5,Monthly,Yes,956532.59,2923.19,AGT-3150,March,Q1,2017,20-Mar-18,CLM-272126,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-271306,19-09-2020,19-Sep-25,25,19-Sep-20,CUST-237673,1184189.77,63479.32,Monthly,Yes,629093.32,1536.18,AGT-3150,September,Q3,2020,19-Sep-21,CLM-754176,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-394646,12-09-2023,12-Sep-25,25,12-Sep-23,CUST-371312,106472.09,65128.31,Quarterly,No,37136.63,8950.99,AGT-3150,September,Q3,2023,12-Sep-24,CLM-332651,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-618789,26-01-2023,26-Jan-25,25,26-Jan-23,CUST-392389,1262987.16,60911.7,Quarterly,Yes,586934.4,6803.57,AGT-3150,January,Q1,2023,26-Jan-24,CLM-789370,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-993223,14-09-2018,14-Sep-25,25,14-Sep-18,CUST-499649,819981.57,33222.86,Monthly,No,274241.93,987.09,AGT-3150,September,Q3,2018,14-Sep-19,CLM-385640,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-689355,20-10-2018,20-Oct-25,25,20-Oct-18,CUST-883802,940842.28,45649.63,Annually,No,331999.38,5415.14,AGT-3150,October,Q4,2018,20-Oct-19,CLM-955514,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-884667,01-06-2023,01-Jun-25,25,01-Jun-23,CUST-637231,155705.02,57579.38,Monthly,No,77955.11,9564.98,AGT-3150,June,Q2,2023,01-Jun-24,CLM-746863,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-963221,13-07-2022,13-Jul-25,25,13-Jul-22,CUST-668529,1024479.56,80542.59,Monthly,No,488392.97,3191.69,AGT-3150,July,Q3,2022,13-Jul-23,CLM-760622,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-980340,30-03-2017,30-Mar-25,25,30-Mar-17,CUST-909860,875834.92,7542.29,Quarterly,Yes,344929.6,9034.18,AGT-3150,March,Q1,2017,30-Mar-18,CLM-264079,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-174313,28-07-2022,28-Jul-25,25,28-Jul-22,CUST-675830,523557.31,99938.14,Monthly,No,184889.96,3518.64,AGT-3150,July,Q3,2022,28-Jul-23,CLM-728243,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-523271,12-02-2017,12-Feb-25,25,12-Feb-17,CUST-333598,1360096.01,90731.4,Monthly,Yes,565394.01,6212.67,AGT-3150,February,Q1,2017,12-Feb-18,CLM-102025,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-873663,27-09-2017,27-Sep-25,25,27-Sep-17,CUST-500131,1850206.31,73193.3,Quarterly,Yes,994637.12,1058.76,AGT-3150,September,Q3,2017,27-Sep-18,CLM-768472,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-394529,02-11-2015,02-Nov-25,25,02-Nov-15,CUST-318803,1749551.9,26050.14,Monthly,Yes,846343.61,7276.07,AGT-3150,November,Q4,2015,02-Nov-16,CLM-496920,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-979140,26-11-2019,26-Nov-25,25,26-Nov-19,CUST-953191,1784643.98,90149.38,Annually,No,792373.78,7758.44,AGT-3150,November,Q4,2019,26-Nov-20,CLM-145106,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-187042,07-03-2018,07-Mar-25,25,07-Mar-18,CUST-307451,1987867.07,17063.2,Monthly,Yes,1099062.08,3758.72,AGT-3150,March,Q1,2018,07-Mar-19,CLM-997388,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-778316,05-10-2021,05-Oct-25,25,05-Oct-21,CUST-759521,1250839.8,82339.42,Quarterly,No,515588.95,9327.6,AGT-3150,October,Q4,2021,05-Oct-22,CLM-908197,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-939568,07-03-2017,07-Mar-25,25,07-Mar-17,CUST-976001,1451379.18,61128.36,Quarterly,No,716642.38,596.1,AGT-3150,March,Q1,2017,07-Mar-18,CLM-411728,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-789791,19-04-2017,19-Apr-25,25,19-Apr-17,CUST-716950,1044856.97,39140.55,Annually,No,505554.31,3964.59,AGT-3150,April,Q2,2017,19-Apr-18,CLM-920445,TR-WHCD968,JSU-TRCD-9813,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-138123,20-09-2015,20-Sep-25,15,20-Sep-15,CUST-952687,1471320.72,91121.83,Quarterly,Yes,847052.63,513.46,AGT-3894,September,Q3,2015,20-Sep-16,CLM-603372,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-549986,06-06-2017,06-Jun-25,22,06-Jun-17,CUST-537536,1923096.4,8459.9,Monthly,No,894049.97,5175.8,AGT-3894,June,Q2,2017,06-Jun-18,CLM-782118,TR-WHCD968,GWB-TRCD-9833,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-649121,03-01-2017,04-Nov-24,22,03-Jan-17,CUST-435320,609837.77,98131.97,Quarterly,No,226329.64,2805.77,AGT-3894,January,Q1,2017,03-Jan-18,CLM-562623,TR-WHCD968,GWB-TRCD-9833,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-459985,26-07-2020,11-Aug-24,15,26-Jul-20,CUST-724933,1127655.39,77363.87,Annually,Yes,437961.04,2719.35,AGT-3894,July,Q3,2020,26-Jul-21,CLM-668469,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-124812,12-12-2018,03-Jul-25,15,12-Dec-18,CUST-410184,1727869.21,56329.76,Monthly,No,686060.29,6846.53,AGT-3894,December,Q4,2018,12-Dec-19,CLM-347120,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-137238,30-10-2015,24-Jun-25,15,30-Oct-15,CUST-319323,1060785.68,27031.26,Quarterly,No,490899.12,4193.19,AGT-3894,October,Q4,2015,30-Oct-16,CLM-749022,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-363994,21-07-2024,24-Dec-24,22,21-Jul-24,CUST-488866,621916.37,76437.01,Quarterly,Yes,349233.25,8163.13,AGT-3894,July,Q3,2024,21-Jul-25,CLM-184805,TR-WHCD968,GWB-TRCD-9833,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-938557,07-04-2018,14-Oct-24,15,07-Apr-18,CUST-703412,336150.64,82312.82,Monthly,No,188587.15,1540.17,AGT-3894,April,Q2,2018,07-Apr-19,CLM-348971,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-603991,24-09-2021,20-Mar-25,15,24-Sep-21,CUST-689367,1087796.1,32738.94,Annually,No,548806.32,6116.77,AGT-3894,September,Q3,2021,24-Sep-22,CLM-547075,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-210137,02-07-2021,04-Sep-24,15,02-Jul-21,CUST-353664,1522469.21,32225.53,Quarterly,No,727410.09,7136.23,AGT-3894,July,Q3,2021,02-Jul-22,CLM-554538,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-843684,01-05-2018,18-Jul-24,15,01-May-18,CUST-845118,1339116.57,94897.49,Quarterly,Yes,666648.84,4918.43,AGT-3894,May,Q2,2018,01-May-19,CLM-801764,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-444832,19-12-2015,08-Apr-24,15,19-Dec-15,CUST-270742,106140.94,65184.23,Annually,No,36294.48,2535.52,AGT-3894,December,Q4,2015,19-Dec-16,CLM-438752,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-537943,28-02-2020,03-Feb-24,22,28-Feb-20,CUST-520043,1400704.4,76027.83,Annually,Yes,513217.76,2425.65,AGT-3894,February,Q1,2020,28-Feb-21,CLM-309553,TR-WHCD968,GWB-TRCD-9833,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-113325,30-07-2023,10-Jun-25,15,30-Jul-23,CUST-989728,201556.73,22093.61,Annually,No,117187.5,7569.06,AGT-3894,July,Q3,2023,30-Jul-24,CLM-479176,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-550613,07-09-2024,29-Dec-24,15,07-Sep-24,CUST-629963,1618044,34124.47,Quarterly,Yes,873913.63,5285.46,AGT-3894,September,Q3,2024,07-Sep-25,CLM-396651,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-706166,24-08-2020,15-Nov-24,15,24-Aug-20,CUST-473646,1111450.22,99906.26,Quarterly,Yes,525817.59,5889.1,AGT-3894,August,Q3,2020,24-Aug-21,CLM-467251,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-406386,12-02-2018,27-Mar-24,15,12-Feb-18,CUST-422760,831631.67,81579.65,Monthly,No,427574.6,2850.62,AGT-3894,February,Q1,2018,12-Feb-19,CLM-545018,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-203058,31-10-2015,17-Feb-25,15,31-Oct-15,CUST-439595,1966869.44,75348.53,Quarterly,Yes,674430.65,7413.43,AGT-3894,October,Q4,2015,31-Oct-16,CLM-353283,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-251924,03-01-2019,19-Aug-24,15,03-Jan-19,CUST-879039,577013.21,65232.71,Quarterly,Yes,251060.22,2827.81,AGT-3894,January,Q1,2019,03-Jan-20,CLM-884645,TR-UNCD988,RSE-TRCD-9856,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-590384,17-01-2017,03-Sep-24,15,17-Jan-17,CUST-111554,1195126.21,7303.38,Quarterly,No,524837.79,7038.19,AGT-4594,January,Q1,2017,17-Jan-18,CLM-620291,TR-UNCD988,RSE-TRCD-9856,Active,Goa,RMW8C6P3,ZMW3T7P8
TRS-POL-359454,12-08-2019,11-Nov-24,15,12-Aug-19,CUST-595974,942247.63,20623.69,Annually,No,428956.01,682.49,AGT-1909,August,Q3,2019,12-Aug-20,CLM-414789,TR-UNCD988,RSE-TRCD-9856,Active,Orissa,RME2D5Q4,ZMW3T7P8
TRS-POL-599797,01-12-2022,01-Dec-25,15,01-Dec-22,CUST-692090,1610632.76,99286.08,Quarterly,No,798645.89,7042.11,AGT-2109,December,Q4,2022,01-Dec-23,CLM-653284,TR-UNCD988,RSE-TRCD-9856,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-500276,11-01-2020,11-Jan-25,15,11-Jan-20,CUST-256903,773632.01,37208.96,Monthly,Yes,274017.28,7952.23,AGT-2109,January,Q1,2020,11-Jan-21,CLM-234635,TR-UNCD988,RSE-TRCD-9856,Active,Assam,RME2D5Q4,ZMW3T7P8
TRS-POL-211244,20-03-2021,20-Mar-25,22,20-Mar-21,CUST-438019,403191.08,89899.45,Monthly,Yes,163521.92,7004.5,AGT-3150,March,Q1,2021,20-Mar-22,CLM-812711,TR-WHCD968,GWB-TRCD-9833,Active,Haryana,RMN7A3X1,ZMN8K2L1
TRS-POL-767438,21-03-2018,21-Mar-25,15,21-Mar-18,CUST-363935,896731.11,57420.93,Annually,No,417761.64,4066,AGT-4980,March,Q1,2018,21-Mar-19,CLM-321848,TR-UNCD988,RSE-TRCD-9856,Active,Kerala,RMS4B9K2,ZMS5Q4R2
TRS-POL-751572,15-01-2019,15-Jan-25,15,15-Jan-19,CUST-715015,836512.52,22240.5,Monthly,No,268774.92,6921.82,AGT-4980,January,Q1,2019,15-Jan-20,CLM-867208,TR-UNCD988,RSE-TRCD-9856,Active,Kerala,RMS4B9K2,ZMS5Q4R2
TRS-POL-557649,28-07-2023,28-Jul-25,15,28-Jul-23,CUST-291694,204099.04,92975.82,Annually,Yes,99606.07,1197.27,AGT-5980,July,Q3,2023,28-Jul-24,CLM-218263,TR-UNCD988,RSE-TRCD-9856,Active,Tamilnadu,RMS4B9K2,ZMS5Q4R2
TRS-POL-315695,02-06-2021,02-Jun-25,15,02-Jun-21,CUST-603000,1823222.47,12053.23,Quarterly,No,705282.92,7703.71,AGT-5980,June,Q2,2021,02-Jun-22,CLM-573519,TR-UNCD988,RSE-TRCD-9856,Active,Tamilnadu,RMS4B9K2,ZMS5Q4R2
TRS-POL-256641,31-08-2022,31-Aug-25,15,31-Aug-22,CUST-319419,576102.64,11003.22,Quarterly,No,174966.49,584.59,AGT-6578,August,Q3,2022,31-Aug-23,CLM-461525,TR-UNCD988,RSE-TRCD-9856,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-900107,21-12-2018,21-Dec-25,15,21-Dec-18,CUST-357463,1051948.6,58084.79,Quarterly,No,387884.09,6916.54,AGT-7898,December,Q4,2018,21-Dec-19,CLM-921554,TR-UNCD988,RSE-TRCD-9856,Active,Uttarakhand,RMN7A3X1,ZMN8K2L1
TRS-POL-931680,15-12-2020,15-Dec-25,15,15-Dec-20,CUST-313805,1734180.01,98205.71,Annually,No,590514.93,6239.53,AGT-4456,December,Q4,2020,15-Dec-21,CLM-618125,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-143035,27-08-2017,27-Aug-25,15,27-Aug-17,CUST-356917,948499.34,64331.96,Quarterly,Yes,318774.96,2425.9,AGT-4456,August,Q3,2017,27-Aug-18,CLM-306466,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-875861,08-03-2024,08-Mar-24,15,16-May-25,CUST-443115,1086987.08,73275.37,Annually,Yes,443048.28,3054.3,AGT-4456,May,Q2,2025,16-May-26,CLM-862814,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-130488,23-12-2018,23-Dec-25,15,23-Dec-18,CUST-560146,1207341.53,14526.17,Annually,No,710404.19,8727.61,AGT-4456,December,Q4,2018,23-Dec-19,CLM-627767,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-685492,22-07-2022,22-Jul-25,15,22-Jul-22,CUST-310812,1531142,89451.84,Quarterly,No,697041.72,2579.02,AGT-4456,July,Q3,2022,22-Jul-23,CLM-653567,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-163942,02-02-2016,02-Feb-25,15,02-Feb-16,CUST-195363,1300841.37,69335.88,Monthly,Yes,775495.84,5951.9,AGT-4456,February,Q1,2016,02-Feb-17,CLM-717486,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-796953,12-01-2024,12-Jan-25,15,12-Jan-24,CUST-550406,652258.57,11901.64,Monthly,Yes,279867.9,2471.08,AGT-4456,January,Q1,2024,12-Jan-25,CLM-932216,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-319855,19-01-2017,19-Jan-25,15,19-Jan-17,CUST-274210,1354822.93,72966.7,Quarterly,No,776712.74,5464.72,AGT-4456,January,Q1,2017,19-Jan-18,CLM-131087,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-205337,08-03-2024,08-Mar-24,15,31-May-25,CUST-474462,1268467.37,28910.59,Annually,No,412773.67,810.83,AGT-4456,May,Q2,2025,31-May-26,CLM-462945,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-297976,08-03-2024,08-Mar-24,22,03-Jan-25,CUST-581128,1666264.79,24991.61,Quarterly,No,642651.06,9040.38,AGT-4456,January,Q1,2025,03-Jan-26,CLM-607650,TR-WHCD968,GWB-TRCD-9833,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-535826,27-08-2020,27-Aug-25,15,27-Aug-20,CUST-349777,1678081.32,72949.5,Annually,No,597343.55,2443.79,AGT-4456,August,Q3,2020,27-Aug-21,CLM-836283,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-152042,09-02-2018,09-Feb-25,15,09-Feb-18,CUST-580702,1599564.02,13677.51,Monthly,Yes,867945.33,6651.2,AGT-4456,February,Q1,2018,09-Feb-19,CLM-369957,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-242774,18-01-2024,18-Jan-25,15,18-Jan-24,CUST-480946,384253.63,13610.21,Quarterly,Yes,197144.4,6000.01,AGT-4456,January,Q1,2024,18-Jan-25,CLM-180964,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-964673,20-11-2021,20-Nov-25,15,20-Nov-21,CUST-606182,950682.34,88730.71,Annually,Yes,453382.75,1774.03,AGT-4456,November,Q4,2021,20-Nov-22,CLM-829484,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-347869,11-06-2023,11-Jun-25,15,11-Jun-23,CUST-496091,1683534.16,74622.79,Quarterly,No,1005713.22,1297.99,AGT-4456,June,Q2,2023,11-Jun-24,CLM-477499,TR-UNCD988,RSE-TRCD-9856,Active,Bihar,RMC9F7L5,ZMN8K2L1
TRS-POL-504274,16-02-2023,16-Feb-25,15,16-Feb-23,CUST-744958,1419208.69,35333.39,Quarterly,No,769556.62,1776.71,AGT-3894,February,Q1,2023,16-Feb-24,CLM-157449,TR-ENDD989,WLS-TRCD-9814,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-199338,12-02-2024,22-Mar-25,15,12-Feb-24,CUST-783259,994805.63,49236.49,Annually,No,366586.12,3507.94,AGT-3894,February,Q1,2024,12-Feb-25,CLM-594903,TR-ENDD989,WLS-TRCD-9814,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-278387,21-12-2017,11-Jul-24,15,21-Dec-17,CUST-596894,1118126.77,93334.29,Monthly,No,650994.68,5585.59,AGT-3894,December,Q4,2017,21-Dec-18,CLM-339318,TR-ENDD989,WLS-TRCD-9814,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-625581,15-02-2016,19-Feb-24,15,15-Feb-16,CUST-235247,1567863.94,38352.19,Monthly,Yes,883533.02,8739.47,AGT-3894,February,Q1,2016,15-Feb-17,CLM-458609,TR-ENDD989,WLS-TRCD-9814,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-279350,25-12-2019,25-Jan-25,15,25-Dec-19,CUST-784003,787407.92,78014.47,Quarterly,No,435772.08,3916.46,AGT-3894,December,Q4,2019,25-Dec-20,CLM-774684,TR-ENDD989,WLS-TRCD-9814,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-518121,18-12-2024,05-May-25,15,18-Dec-24,CUST-193962,1802163.53,85673.97,Quarterly,No,890338.37,8649.66,AGT-3894,December,Q4,2024,18-Dec-25,CLM-142034,TR-ENDD989,WLS-TRCD-9814,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
TRS-POL-101856,18-10-2019,04-Jun-25,15,18-Oct-19,CUST-605631,292280.4,87981.17,Annually,No,146573.09,4881.19,AGT-3894,October,Q4,2019,18-Oct-20,CLM-165346,TR-ENDD989,WLS-TRCD-9814,Active,Maharashtra,RMW8C6P3,ZMW3T7P8
